condition,fixation,anchoring,digestion,mean_IC
AcX + LysC,0.05,0.8,0.8,0.4549617904950786
AcX + ProK,0.05,0.8,0.8,0.05526951419127368
AcX + Trypsin,0.05,0.8,0.8,0.34282887082904856
Epoxide + LysC,0.05,0.8,0.8,0.4657288786053572
Epoxide + ProK,0.05,0.8,0.8,0.17394657397776797
Epoxide + Trypsin,0.05,0.8,0.8,0.5289143802262377
