anchor,digest,fixation,anchoring,digestion,mean_IC_percent
acx,lysc,0.0,0.6000000238418579,1.0,13.86120319366455
acx,prok,0.0,1.0,0.10000000149011612,21.43415641784668
acx,trypsin,0.0,1.0,1.0,20.77567481994629
epoxide,lysc,0.0,0.4000000059604645,1.0,22.064680099487305
epoxide,prok,0.0,0.800000011920929,0.20000000298023224,33.61333084106445
epoxide,trypsin,0.0,0.699999988079071,1.0,31.939963510142597
