run_label,fixation,anchoring,digestion,mean_ic_percent
i) AcX + Trypsin,0.0,0.0,0.0,0.0
i) AcX + Trypsin,0.0,0.10000000149011612,0.0,0.0
i) AcX + Trypsin,0.0,0.20000000298023224,0.0,0.0
i) AcX + Trypsin,0.0,0.30000001192092896,0.0,0.0
i) AcX + Trypsin,0.0,0.4000000059604645,0.0,0.0
i) AcX + Trypsin,0.0,0.5,0.0,0.0
i) AcX + Trypsin,0.0,0.6000000238418579,0.0,0.0
i) AcX + Trypsin,0.0,0.699999988079071,0.0,0.0
i) AcX + Trypsin,0.0,0.800000011920929,0.0,0.0
i) AcX + Trypsin,0.0,0.8999999761581421,0.0,0.0
i) AcX + Trypsin,0.0,1.0,0.0,0.0
i) AcX + Trypsin,0.0,0.0,0.10000000149011612,0.0
i) AcX + Trypsin,0.0,0.10000000149011612,0.10000000149011612,3.9195339246967666
i) AcX + Trypsin,0.0,0.20000000298023224,0.10000000149011612,5.826917778079366
i) AcX + Trypsin,0.0,0.30000001192092896,0.10000000149011612,6.835506756400052
i) AcX + Trypsin,0.0,0.4000000059604645,0.10000000149011612,7.28950365289736
i) AcX + Trypsin,0.0,0.5,0.10000000149011612,7.4271888355977
i) AcX + Trypsin,0.0,0.6000000238418579,0.10000000149011612,7.3491100540589755
i) AcX + Trypsin,0.0,0.699999988079071,0.10000000149011612,7.132022983473311
i) AcX + Trypsin,0.0,0.800000011920929,0.10000000149011612,6.8054674746611745
i) AcX + Trypsin,0.0,0.8999999761581421,0.10000000149011612,6.435294226966172
i) AcX + Trypsin,0.0,1.0,0.10000000149011612,5.968598085263255
i) AcX + Trypsin,0.0,0.0,0.20000000298023224,0.0
i) AcX + Trypsin,0.0,0.10000000149011612,0.20000000298023224,4.640703549558918
i) AcX + Trypsin,0.0,0.20000000298023224,0.20000000298023224,7.615373518837234
i) AcX + Trypsin,0.0,0.30000001192092896,0.20000000298023224,9.504354810791156
i) AcX + Trypsin,0.0,0.4000000059604645,0.20000000298023224,10.668668996046131
i) AcX + Trypsin,0.0,0.5,0.20000000298023224,11.311267302932459
i) AcX + Trypsin,0.0,0.6000000238418579,0.20000000298023224,11.559925359910135
i) AcX + Trypsin,0.0,0.699999988079071,0.20000000298023224,11.508202415788206
i) AcX + Trypsin,0.0,0.800000011920929,0.20000000298023224,11.232541092255829
i) AcX + Trypsin,0.0,0.8999999761581421,0.20000000298023224,10.78108517781724
i) AcX + Trypsin,0.0,1.0,0.20000000298023224,10.168238564853699
i) AcX + Trypsin,0.0,0.0,0.30000001192092896,0.0
i) AcX + Trypsin,0.0,0.10000000149011612,0.30000001192092896,4.695677358827528
i) AcX + Trypsin,0.0,0.20000000298023224,0.30000001192092896,8.132960321861058
i) AcX + Trypsin,0.0,0.30000001192092896,0.30000001192092896,10.589328329908795
i) AcX + Trypsin,0.0,0.4000000059604645,0.30000001192092896,12.28165598155886
i) AcX + Trypsin,0.0,0.5,0.30000001192092896,13.427066784707971
i) AcX + Trypsin,0.0,0.6000000238418579,0.30000001192092896,14.060582129858105
i) AcX + Trypsin,0.0,0.699999988079071,0.30000001192092896,14.307636875827209
i) AcX + Trypsin,0.0,0.800000011920929,0.30000001192092896,14.221289951803383
i) AcX + Trypsin,0.0,0.8999999761581421,0.30000001192092896,13.850615194976717
i) AcX + Trypsin,0.0,1.0,0.30000001192092896,13.222337781157432
i) AcX + Trypsin,0.0,0.0,0.4000000059604645,0.0
i) AcX + Trypsin,0.0,0.10000000149011612,0.4000000059604645,4.570444695503334
i) AcX + Trypsin,0.0,0.20000000298023224,0.4000000059604645,8.135802316987883
i) AcX + Trypsin,0.0,0.30000001192092896,0.4000000059604645,10.906461365854513
i) AcX + Trypsin,0.0,0.4000000059604645,0.4000000059604645,12.977697975322036
i) AcX + Trypsin,0.0,0.5,0.4000000059604645,14.494071961536797
i) AcX + Trypsin,0.0,0.6000000238418579,0.4000000059604645,15.511918960709343
i) AcX + Trypsin,0.0,0.699999988079071,0.4000000059604645,16.041138807550333
i) AcX + Trypsin,0.0,0.800000011920929,0.4000000059604645,16.22610707732678
i) AcX + Trypsin,0.0,0.8999999761581421,0.4000000059604645,16.026244804439838
i) AcX + Trypsin,0.0,1.0,0.4000000059604645,15.492220379391304
i) AcX + Trypsin,0.0,0.0,0.5,0.0
i) AcX + Trypsin,0.0,0.10000000149011612,0.5,4.311638902249538
i) AcX + Trypsin,0.0,0.20000000298023224,0.5,7.89342335395969
i) AcX + Trypsin,0.0,0.30000001192092896,0.5,10.835611501291746
i) AcX + Trypsin,0.0,0.4000000059604645,0.5,13.169726409867238
i) AcX + Trypsin,0.0,0.5,0.5,14.987718189543468
i) AcX + Trypsin,0.0,0.6000000238418579,0.5,16.297574238530874
i) AcX + Trypsin,0.0,0.699999988079071,0.5,17.163660375868332
i) AcX + Trypsin,0.0,0.800000011920929,0.5,17.58376935759316
i) AcX + Trypsin,0.0,0.8999999761581421,0.5,17.573914116237138
i) AcX + Trypsin,0.0,1.0,0.5,17.2052521202602
i) AcX + Trypsin,0.0,0.0,0.6000000238418579,0.0
i) AcX + Trypsin,0.0,0.10000000149011612,0.6000000238418579,4.069984584778527
i) AcX + Trypsin,0.0,0.20000000298023224,0.6000000238418579,7.594550404048743
i) AcX + Trypsin,0.0,0.30000001192092896,0.6000000238418579,10.58325506447547
i) AcX + Trypsin,0.0,0.4000000059604645,0.6000000238418579,13.07669872755655
i) AcX + Trypsin,0.0,0.5,0.6000000238418579,15.093859068911671
