dig_round,anch_round,mean_ic,fix_round,run
0.8,0.7,0.2524951277432712,0.0,i) AcX + Trypsin
0.9,0.7,0.2577381983436853,0.0,i) AcX + Trypsin
1.0,0.7,0.26113532753623186,0.0,i) AcX + Trypsin
0.0,0.8,0.011064709316770187,0.0,i) AcX + Trypsin
0.1,0.8,0.06995623167701863,0.0,i) AcX + Trypsin
0.2,0.8,0.11486568881987577,0.0,i) AcX + Trypsin
0.3,0.8,0.15189317598343685,0.0,i) AcX + Trypsin
0.4,0.8,0.1812720540372671,0.0,i) AcX + Trypsin
0.5,0.8,0.2052377474120083,0.0,i) AcX + Trypsin
0.6,0.8,0.2241699105590062,0.0,i) AcX + Trypsin
0.7,0.8,0.23696254948240167,0.0,i) AcX + Trypsin
0.8,0.8,0.24770892028985508,0.0,i) AcX + Trypsin
0.9,0.8,0.2570973954451346,0.0,i) AcX + Trypsin
1.0,0.8,0.26479928881987574,0.0,i) AcX + Trypsin
0.0,0.9,0.005392621946169772,0.0,i) AcX + Trypsin
0.1,0.9,0.054908825051759834,0.0,i) AcX + Trypsin
0.2,0.9,0.09475314554865424,0.0,i) AcX + Trypsin
0.3,0.9,0.12844297701863355,0.0,i) AcX + Trypsin
0.4,0.9,0.15662091366459627,0.0,i) AcX + Trypsin
0.5,0.9,0.18163151511387163,0.0,i) AcX + Trypsin
0.6,0.9,0.19986071863354038,0.0,i) AcX + Trypsin
0.7,0.9,0.21800335155279504,0.0,i) AcX + Trypsin
0.8,0.9,0.23013623850931675,0.0,i) AcX + Trypsin
0.9,0.9,0.2417003136645963,0.0,i) AcX + Trypsin
1.0,0.9,0.25219018550724637,0.0,i) AcX + Trypsin
0.0,1.0,0.0,0.0,i) AcX + Trypsin
0.1,1.0,0.03755285175983437,0.0,i) AcX + Trypsin
0.2,1.0,0.07121088592132505,0.0,i) AcX + Trypsin
0.3,1.0,0.09812458405797102,0.0,i) AcX + Trypsin
0.4,1.0,0.12476941055900621,0.0,i) AcX + Trypsin
0.5,1.0,0.1465997204968944,0.0,i) AcX + Trypsin
0.6,1.0,0.16426487039337473,0.0,i) AcX + Trypsin
0.7,1.0,0.18166137370600416,0.0,i) AcX + Trypsin
0.8,1.0,0.1970871231884058,0.0,i) AcX + Trypsin
0.9,1.0,0.20894681677018634,0.0,i) AcX + Trypsin
1.0,1.0,0.2208499979296066,0.0,i) AcX + Trypsin
0.0,0.0,0.0,0.01,i) AcX + Trypsin
0.1,0.0,0.0,0.01,i) AcX + Trypsin
0.2,0.0,0.0,0.01,i) AcX + Trypsin
0.3,0.0,0.0,0.01,i) AcX + Trypsin
0.4,0.0,0.0,0.01,i) AcX + Trypsin
0.5,0.0,0.0,0.01,i) AcX + Trypsin
0.6,0.0,0.0,0.01,i) AcX + Trypsin
0.7,0.0,0.0,0.01,i) AcX + Trypsin
0.8,0.0,0.0,0.01,i) AcX + Trypsin
